FBgn0036248 SSP
FBgn0036249 CG11560
FBgn0036274 CG4328
FBgn0036285 TOE
FBgn0036294 CG10654
FBgn0036331 CG14117
FBgn0036395 CG17361
FBgn0036396 CG17359
FBgn0036411 SOX21A
FBgn0036423 CG3919
FBgn0036479 CG13458
FBgn0036522 CG7372
FBgn0036538 CG15715
FBgn0036661 CG9705
FBgn0036725 CG18265
FBgn0036761 MED19
FBgn0036791 CG7271
FBgn0036810 CG6885
FBgn0036811 MED11
FBgn0036812 NUFIP
FBgn0036900 CG8765
FBgn0037031 CG11456
FBgn0037051 CG10565
FBgn0037085 NEU2
FBgn0037120 CG11247
FBgn0037121 RPB8
FBgn0037183 CG14451
FBgn0037202 SSL1
FBgn0037206 CG12768
FBgn0037207 MES2
FBgn0037262 MED31
FBgn0037275 CG14655
FBgn0037317 CG14667
FBgn0037329 POLDIP2
FBgn0037359 MED27
FBgn0037379 CG10979
FBgn0037436 HR83
FBgn0037445 CG9727
FBgn0037446 ZIF
FBgn0037466 CG1965
FBgn0037475 FER1
FBgn0037540 PBP95
FBgn0037555 ADA2B
FBgn0037584 CG7963
FBgn0037617 NOM
FBgn0037618 OUIB
FBgn0037619 CG8159
FBgn0037620 RANSHI
FBgn0037621 M1BP
FBgn0037634 HNG2
FBgn0037655 KCMF1
FBgn0037659 KDM2
FBgn0037672 SAGE
FBgn0037698 CG16779
FBgn0037717 CG8301
FBgn0037722 CG8319
FBgn0037746 CG8478
FBgn0037751 TOPI
FBgn0037794 CG6254
FBgn0037841 CG4565
FBgn0037844 CG4570
FBgn0037876 CG4820
FBgn0037877 CG6689
FBgn0037918 CG6791
FBgn0037920 CG14710
FBgn0037921 CG6808
FBgn0037922 CG14711
FBgn0037923 CG6813
FBgn0037924 CG14712
FBgn0037931 CG18476
FBgn0037937 FER3
FBgn0037980 DCAF12
FBgn0037981 SPT3
FBgn0038016 MBD-R2
FBgn0038039 CG5196
FBgn0038046 CG5641
FBgn0038047 CG5245
FBgn0038057 CG12267
FBgn0038063 OCTBETA2R
FBgn0038108 CG7518
FBgn0038128 RAVUS
FBgn0038146 CG9799
FBgn0038197 FOXO
FBgn0038244 CG7987
FBgn0038273 CG14860
FBgn0038301 CG6654
FBgn0038316 CG6276
FBgn0038339 CG6118
FBgn0038371 PBP45
FBgn0038390 RBF2
FBgn0038391 GATAE
FBgn0038402 FER2
FBgn0038418 PAD
FBgn0038472 CG3995
FBgn0038499 BRF
FBgn0038547 CG17803
FBgn0038548 CG17806
FBgn0038549 CG17802
FBgn0038550 CG17801
FBgn0038551 ODJ
FBgn0038564 CG7785
FBgn0038578 MED17
FBgn0038592 CG18599
FBgn0038626 CG7691
FBgn0038741 CG17186
FBgn0038760 MED25
FBgn0038765 CG4424
FBgn0038766 CG4854
FBgn0038767 TREM
FBgn0038768 CG4936
FBgn0038787 CG4360
FBgn0038805 TFAM
FBgn0038833 CG15696
FBgn0038851 DMRT93B
FBgn0038852 HHEX
FBgn0038978 THMG1
FBgn0038979 THMG2
FBgn0039019 HP1C
FBgn0039039 LMD
FBgn0039044 P53
FBgn0039078 CG4374
FBgn0039152 ROOT
FBgn0039169 SPPS
FBgn0039201 CG13617
FBgn0039209 REPTOR
FBgn0039225 ETS96B
FBgn0039227 POLYBROMO
FBgn0039283 DANR
FBgn0039286 DAN
FBgn0039329 CG10669
FBgn0039336 CG4553
FBgn0039337 MED28
FBgn0039350 JIGR1
FBgn0039355 CG4730
FBgn0039366 CG17198
FBgn0039367 CG17197
FBgn0039369 CG17195
FBgn0039370 CG4956
FBgn0039411 DYSF
FBgn0039504 CG14260
FBgn0039509 BIGMAX
FBgn0039530 TUSP
FBgn0039602 CG1647
FBgn0039654 BRD8
FBgn0039683 DMRT99B
FBgn0039712 CG15514
FBgn0039733 CG11504
FBgn0039740 ZIPIC
FBgn0039777 JON99FII
FBgn0039808 CG12071
FBgn0039816 CG11317
FBgn0039831 CG12054
FBgn0039860 CG1792
FBgn0039932 FUSS
FBgn0039937 FD102C
FBgn0039938 SOX102F
FBgn0039946 ATBP
FBgn0040071 TARA
FBgn0040273 SPT5
FBgn0040305 MTF-1
FBgn0040318 HGTX
FBgn0040339 MED22
FBgn0040355 CG3526
FBgn0040366 CG11398
FBgn0040372 G9A
FBgn0040392 CG14050
FBgn0040465 DLIP3
FBgn0040466 DLIP2
FBgn0040467 DLIP1
FBgn0040765 LUNA
FBgn0040777 CG14767
FBgn0040918 SCHLANK
FBgn0040929 CG12659
FBgn0041092 TAI
FBgn0041105 NERFIN-2
FBgn0041111 LILLI
FBgn0041156 EXEX
FBgn0041205 KEY
FBgn0042085 BAP170
FBgn0042205 CG18764
FBgn0042630 SOX21B
FBgn0042696 NFI
FBgn0043001 CHRAC-16
FBgn0043002 CHRAC-14
FBgn0043364 CBT
FBgn0043457 CG5180
FBgn0043796 CG12219
FBgn0045759 BIN
FBgn0045852 HAM
FBgn0046874 PIF1B
FBgn0050011 GEM
FBgn0050020 CG30020
FBgn0050077 BLOS1
FBgn0050401 DANY
FBgn0050403 CG30403
FBgn0050431 CG30431
FBgn0050443 OPBP
FBgn0051155 RPB7
FBgn0051224 CG31224
FBgn0051365 CG31365
FBgn0051388 CG31388
FBgn0051390 MED7
FBgn0051441 CG31441
FBgn0051460 CG31460
FBgn0051481 PB
FBgn0051510 CG31510
FBgn0051612 CG31612
FBgn0051627 CG31627
FBgn0051632 SENS-2
FBgn0051642 CG31642
FBgn0051835 CG31835
FBgn0051875 CG31875
FBgn0051955 CG31955
FBgn0052006 CG32006
FBgn0052105 LMX1A
FBgn0052121 CG32121
FBgn0052264 CG32264
FBgn0052296 MRTF
FBgn0052532 CG32532
FBgn0052719 CG32719
FBgn0052767 CG32767
FBgn0052772 CG32772
FBgn0052831 CG33695
FBgn0052982 CG32982
FBgn0053017 CG33017
FBgn0053178 CG33178
FBgn0053213 CG33213
FBgn0053221 CR33221
FBgn0053557 CG33557
FBgn0054031 CG34031
FBgn0083981 RUNXA
FBgn0083985 CG34149
FBgn0085369 DRGX
FBgn0085396 CG34367
FBgn0085405 CG34376
FBgn0085424 NUB
FBgn0085432 PAN
FBgn0085436 NOT1
FBgn0085444 MUTE
FBgn0085450 SNOO
FBgn0085451 HTK
FBgn0086350 TEF
